
cnae_tronco,cnae_completo,descricao_cnae,grau_risco,fonte
10996,1099-6/02,Fabricação de pós-alimentícios,1,NR-4 2023
10996,1099-6/03,Fabricação de fermentos e leveduras,1,NR-4 2023
10996,1099-6/04,Fabricação de gelo comum,1,NR-4 2023
10996,1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",1,NR-4 2023
10996,1099-6/06,Fabricação de adoçantes naturais e artificiais,1,NR-4 2023
10996,1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,1,NR-4 2023
10996,1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,1,NR-4 2023
11135,1113-5/01,"Fabricação de malte, inclusive malte uísque",2,NR-4 2023
11135,1113-5/02,Fabricação de cervejas e chopes,2,NR-4 2023
11224,1122-4/01,Fabricação de refrigerantes,1,NR-4 2023
11224,1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,1,NR-4 2023
11224,1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",1,NR-4 2023
11224,1122-4/04,Fabricação de bebidas isotônicas,1,NR-4 2023
11224,1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,1,NR-4 2023
12107,1210-7/00,Processamento industrial do fumo,2,NR-4 2023
12204,1220-4/01,Fabricação de cigarros,1,NR-4 2023
12204,1220-4/02,Fabricação de cigarrilhas e charutos,1,NR-4 2023
12204,1220-4/03,Fabricação de filtros para cigarros,1,NR-4 2023
12204,1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",1,NR-4 2023
13111,1311-1/00,Preparação e fiação de fibras de algodão,3,NR-4 2023
13120,1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",3,NR-4 2023
13138,1313-8/00,Fiação de fibras artificiais e sintéticas,3,NR-4 2023
13146,1314-6/00,Fabricação de linhas para costurar e bordar,2,NR-4 2023
13219,1321-9/00,Tecelagem de fios de algodão,3,NR-4 2023
13227,1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",3,NR-4 2023
13235,1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,3,NR-4 2023
13308,1330-8/00,Fabricação de tecidos de malha,4,NR-4 2023
13405,1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-4 2023
13405,1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-4 2023
13405,1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-4 2023
13511,1351-1/00,Fabricação de artefatos têxteis para uso doméstico,3,NR-4 2023
13529,1352-9/00,Fabricação de artefatos de tapeçaria,3,NR-4 2023
13537,1353-7/00,Fabricação de artefatos de cordoaria,3,NR-4 2023
13545,1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",3,NR-4 2023
13596,1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,1,NR-4 2023
14118,1411-8/01,Confecção de roupas íntimas,2,NR-4 2023
14118,1411-8/02,Facção de roupas íntimas,2,NR-4 2023
14126,1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",2,NR-4 2023
14126,1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",2,NR-4 2023
14126,1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",2,NR-4 2023
14134,1413-4/01,"Confecção de roupas profissionais, exceto sob medida",2,NR-4 2023
14134,1413-4/02,"Confecção, sob medida, de roupas profissionais",2,NR-4 2023
14134,1413-4/03,Facção de roupas profissionais,2,NR-4 2023
14142,1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",2,NR-4 2023
14215,1421-5/00,Fabricação de meias,2,NR-4 2023
14223,1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",1,NR-4 2023
15106,1510-6/00,Curtimento e outras preparações de couro,2,NR-4 2023
15211,1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",2,NR-4 2023
15297,1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,3,NR-4 2023
15319,1531-9/01,Fabricação de calçados de couro,3,NR-4 2023
15319,1531-9/02,Acabamento de calçados de couro sob contrato,3,NR-4 2023
15327,1532-7/00,Fabricação de tênis de qualquer material,3,NR-4 2023
15335,1533-5/00,Fabricação de calçados de material sintético,3,NR-4 2023
15394,1539-4/00,"Fabricação de calçados de materiais não especificados
anteriormente",4,NR-4 2023
15408,1540-8/00,"Fabricação de partes para calçados, de qualquer material",1,NR-4 2023
16102,1610-2/03,Serrarias com desdobramento de madeira em bruto,2,NR-4 2023
16102,1610-2/04,Serrarias sem desdobramento de madeira em bruto - Resseragem,2,NR-4 2023
16102,1610-2/05,Serviço de tratamento de madeira realizado sob contrato,2,NR-4 2023
16218,1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",3,NR-4 2023
16226,1622-6/01,Fabricação de casas de madeira pré-fabricadas,3,NR-4 2023
16226,1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3,NR-4 2023
16226,1622-6/99,Fabricação de outros artigos de carpintaria para construção,3,NR-4 2023
16234,1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,3,NR-4 2023
16293,1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",1,NR-4 2023
16293,1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",1,NR-4 2023
17109,1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,2,NR-4 2023
17214,1721-4/00,Fabricação de papel,3,NR-4 2023
17222,1722-2/00,Fabricação de cartolina e papel-cartão,3,NR-4 2023
17311,1731-1/00,Fabricação de embalagens de papel,2,NR-4 2023
17320,1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,2,NR-4 2023
17338,1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,4,NR-4 2023
